Area|Sources of personal income|Ethnic group|Value|Flags
"Welcome Bay East"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|501|
"Welcome Bay East"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|75|
"Welcome Bay East"|"Unemployment benefit"|"Total people, ethnic group"|60|
"Welcome Bay East"|"Sickness benefit"|"Total people, ethnic group"|63|
"Welcome Bay East"|"Domestic purposes benefit"|"Total people, ethnic group"|93|
"Welcome Bay East"|"Invalids benefit"|"Total people, ethnic group"|36|
"Welcome Bay East"|"Student allowance"|"Total people, ethnic group"|63|
"Welcome Bay East"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|123|
"Welcome Bay East"|"Other sources of income"|"Total people, ethnic group"|48|
"Welcome Bay East"|"No source of income during that time"|"Total people, ethnic group"|189|
"Welcome Bay East"|"Total people stated"|"Total people, ethnic group"|2619|
"Welcome Bay East"|"Not stated"|"Total people, ethnic group"|171|
"Ngongotaha North"|"Total people, sources of personal income"|"Total people, ethnic group"|2286|
"Ngongotaha North"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1224|
"Ngongotaha North"|"Self-employment or business"|"Total people, ethnic group"|246|
"Ngongotaha North"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|291|
"Ngongotaha North"|"Payments from a work accident insurer"|"Total people, ethnic group"|39|
"Ngongotaha North"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|414|
"Ngongotaha North"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|48|
"Ngongotaha North"|"Unemployment benefit"|"Total people, ethnic group"|87|
"Ngongotaha North"|"Sickness benefit"|"Total people, ethnic group"|72|
"Ngongotaha North"|"Domestic purposes benefit"|"Total people, ethnic group"|117|
"Ngongotaha North"|"Invalids benefit"|"Total people, ethnic group"|54|
"Ngongotaha North"|"Student allowance"|"Total people, ethnic group"|48|
"Ngongotaha North"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|111|
"Ngongotaha North"|"Other sources of income"|"Total people, ethnic group"|27|
"Ngongotaha North"|"No source of income during that time"|"Total people, ethnic group"|132|
"Ngongotaha North"|"Total people stated"|"Total people, ethnic group"|2109|
"Ngongotaha North"|"Not stated"|"Total people, ethnic group"|177|
"Ngongotaha South"|"Total people, sources of personal income"|"Total people, ethnic group"|972|
"Ngongotaha South"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|498|
"Ngongotaha South"|"Self-employment or business"|"Total people, ethnic group"|99|
"Ngongotaha South"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|150|
"Ngongotaha South"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Ngongotaha South"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|207|
"Ngongotaha South"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|27|
"Ngongotaha South"|"Unemployment benefit"|"Total people, ethnic group"|30|
"Ngongotaha South"|"Sickness benefit"|"Total people, ethnic group"|39|
"Ngongotaha South"|"Domestic purposes benefit"|"Total people, ethnic group"|33|
"Ngongotaha South"|"Invalids benefit"|"Total people, ethnic group"|18|
"Ngongotaha South"|"Student allowance"|"Total people, ethnic group"|18|
"Ngongotaha South"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|33|
"Ngongotaha South"|"Other sources of income"|"Total people, ethnic group"|21|
"Ngongotaha South"|"No source of income during that time"|"Total people, ethnic group"|45|
"Ngongotaha South"|"Total people stated"|"Total people, ethnic group"|879|
"Ngongotaha South"|"Not stated"|"Total people, ethnic group"|93|
"Poets Corner"|"Total people, sources of personal income"|"Total people, ethnic group"|189|
"Poets Corner"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|126|
"Poets Corner"|"Self-employment or business"|"Total people, ethnic group"|21|
"Poets Corner"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|18|
"Poets Corner"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Poets Corner"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|15|
"Poets Corner"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Poets Corner"|"Unemployment benefit"|"Total people, ethnic group"|6|
"Poets Corner"|"Sickness benefit"|"Total people, ethnic group"|3|
"Poets Corner"|"Domestic purposes benefit"|"Total people, ethnic group"|3|
"Poets Corner"|"Invalids benefit"|"Total people, ethnic group"|6|
"Poets Corner"|"Student allowance"|"Total people, ethnic group"|3|
"Poets Corner"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|12|
"Poets Corner"|"Other sources of income"|"Total people, ethnic group"|3|
"Poets Corner"|"No source of income during that time"|"Total people, ethnic group"|12|
"Poets Corner"|"Total people stated"|"Total people, ethnic group"|171|
"Poets Corner"|"Not stated"|"Total people, ethnic group"|18|
"Ngapuna"|"Total people, sources of personal income"|"Total people, ethnic group"|357|
"Ngapuna"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|168|
"Ngapuna"|"Self-employment or business"|"Total people, ethnic group"|39|
"Ngapuna"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|36|
"Ngapuna"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Ngapuna"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|39|
"Ngapuna"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Ngapuna"|"Unemployment benefit"|"Total people, ethnic group"|21|
"Ngapuna"|"Sickness benefit"|"Total people, ethnic group"|9|
"Ngapuna"|"Domestic purposes benefit"|"Total people, ethnic group"|21|
"Ngapuna"|"Invalids benefit"|"Total people, ethnic group"|0|
"Ngapuna"|"Student allowance"|"Total people, ethnic group"|6|
"Ngapuna"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|9|
"Ngapuna"|"Other sources of income"|"Total people, ethnic group"|3|
"Ngapuna"|"No source of income during that time"|"Total people, ethnic group"|18|
"Ngapuna"|"Total people stated"|"Total people, ethnic group"|288|
"Ngapuna"|"Not stated"|"Total people, ethnic group"|66|
"Owhata South"|"Total people, sources of personal income"|"Total people, ethnic group"|450|
"Owhata South"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|255|
"Owhata South"|"Self-employment or business"|"Total people, ethnic group"|63|
"Owhata South"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|93|
"Owhata South"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Owhata South"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|57|
"Owhata South"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Owhata South"|"Unemployment benefit"|"Total people, ethnic group"|15|
"Owhata South"|"Sickness benefit"|"Total people, ethnic group"|6|
"Owhata South"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Owhata South"|"Invalids benefit"|"Total people, ethnic group"|3|
"Owhata South"|"Student allowance"|"Total people, ethnic group"|12|
"Owhata South"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|21|
"Owhata South"|"Other sources of income"|"Total people, ethnic group"|6|
"Owhata South"|"No source of income during that time"|"Total people, ethnic group"|33|
"Owhata South"|"Total people stated"|"Total people, ethnic group"|396|
"Owhata South"|"Not stated"|"Total people, ethnic group"|54|
"Lynmore"|"Total people, sources of personal income"|"Total people, ethnic group"|2550|
"Lynmore"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1587|
"Lynmore"|"Self-employment or business"|"Total people, ethnic group"|465|
"Lynmore"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|819|
"Lynmore"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Lynmore"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|423|
"Lynmore"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|99|
"Lynmore"|"Unemployment benefit"|"Total people, ethnic group"|33|
"Lynmore"|"Sickness benefit"|"Total people, ethnic group"|15|
"Lynmore"|"Domestic purposes benefit"|"Total people, ethnic group"|30|
"Lynmore"|"Invalids benefit"|"Total people, ethnic group"|12|
"Lynmore"|"Student allowance"|"Total people, ethnic group"|36|
"Lynmore"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|96|
"Lynmore"|"Other sources of income"|"Total people, ethnic group"|42|
"Lynmore"|"No source of income during that time"|"Total people, ethnic group"|147|
"Lynmore"|"Total people stated"|"Total people, ethnic group"|2448|
"Lynmore"|"Not stated"|"Total people, ethnic group"|105|
"Owhata West"|"Total people, sources of personal income"|"Total people, ethnic group"|2619|
"Owhata West"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1302|
"Owhata West"|"Self-employment or business"|"Total people, ethnic group"|237|
"Owhata West"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|258|
"Owhata West"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Owhata West"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|360|
"Owhata West"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|39|
"Owhata West"|"Unemployment benefit"|"Total people, ethnic group"|96|
"Owhata West"|"Sickness benefit"|"Total people, ethnic group"|87|
"Owhata West"|"Domestic purposes benefit"|"Total people, ethnic group"|120|
"Owhata West"|"Invalids benefit"|"Total people, ethnic group"|60|
"Owhata West"|"Student allowance"|"Total people, ethnic group"|60|
"Owhata West"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|111|
"Owhata West"|"Other sources of income"|"Total people, ethnic group"|21|
"Owhata West"|"No source of income during that time"|"Total people, ethnic group"|132|
"Owhata West"|"Total people stated"|"Total people, ethnic group"|2169|
"Owhata West"|"Not stated"|"Total people, ethnic group"|447|
"Owhata East"|"Total people, sources of personal income"|"Total people, ethnic group"|1611|
"Owhata East"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|789|
"Owhata East"|"Self-employment or business"|"Total people, ethnic group"|126|
"Owhata East"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|213|
"Owhata East"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Owhata East"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|273|
"Owhata East"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|54|
"Owhata East"|"Unemployment benefit"|"Total people, ethnic group"|45|
"Owhata East"|"Sickness benefit"|"Total people, ethnic group"|27|
"Owhata East"|"Domestic purposes benefit"|"Total people, ethnic group"|78|
"Owhata East"|"Invalids benefit"|"Total people, ethnic group"|30|
"Owhata East"|"Student allowance"|"Total people, ethnic group"|33|
"Owhata East"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|75|
"Owhata East"|"Other sources of income"|"Total people, ethnic group"|27|
"Owhata East"|"No source of income during that time"|"Total people, ethnic group"|102|
"Owhata East"|"Total people stated"|"Total people, ethnic group"|1365|
"Owhata East"|"Not stated"|"Total people, ethnic group"|243|
"Hamurana"|"Total people, sources of personal income"|"Total people, ethnic group"|1986|
"Hamurana"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1137|
"Hamurana"|"Self-employment or business"|"Total people, ethnic group"|534|
"Hamurana"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|522|
"Hamurana"|"Payments from a work accident insurer"|"Total people, ethnic group"|27|
"Hamurana"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|282|
"Hamurana"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|45|
"Hamurana"|"Unemployment benefit"|"Total people, ethnic group"|24|
"Hamurana"|"Sickness benefit"|"Total people, ethnic group"|24|
"Hamurana"|"Domestic purposes benefit"|"Total people, ethnic group"|24|
"Hamurana"|"Invalids benefit"|"Total people, ethnic group"|18|
"Hamurana"|"Student allowance"|"Total people, ethnic group"|24|
"Hamurana"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|54|
"Hamurana"|"Other sources of income"|"Total people, ethnic group"|24|
"Hamurana"|"No source of income during that time"|"Total people, ethnic group"|108|
"Hamurana"|"Total people stated"|"Total people, ethnic group"|1899|
"Hamurana"|"Not stated"|"Total people, ethnic group"|84|
"Inland Water-Lake Rotorua"|"Total people, sources of personal income"|"Total people, ethnic group"|0|
"Inland Water-Lake Rotorua"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Self-employment or business"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Payments from a work accident insurer"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"NZ superannuation or veterans pension"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Unemployment benefit"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Sickness benefit"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Domestic purposes benefit"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Invalids benefit"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Student allowance"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Other government benefits, payments or pensions"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Other sources of income"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"No source of income during that time"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Total people stated"|"Total people, ethnic group"||c
"Inland Water-Lake Rotorua"|"Not stated"|"Total people, ethnic group"||c
"Tikitere"|"Total people, sources of personal income"|"Total people, ethnic group"|2100|
"Tikitere"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|984|
"Tikitere"|"Self-employment or business"|"Total people, ethnic group"|390|
"Tikitere"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|444|
"Tikitere"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Tikitere"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|342|
"Tikitere"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|51|
"Tikitere"|"Unemployment benefit"|"Total people, ethnic group"|48|
"Tikitere"|"Sickness benefit"|"Total people, ethnic group"|39|
"Tikitere"|"Domestic purposes benefit"|"Total people, ethnic group"|66|
"Tikitere"|"Invalids benefit"|"Total people, ethnic group"|27|
"Tikitere"|"Student allowance"|"Total people, ethnic group"|33|
"Tikitere"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|66|
"Tikitere"|"Other sources of income"|"Total people, ethnic group"|21|
"Tikitere"|"No source of income during that time"|"Total people, ethnic group"|141|
"Tikitere"|"Total people stated"|"Total people, ethnic group"|1839|
"Tikitere"|"Not stated"|"Total people, ethnic group"|258|
"Kaingaroa Forest"|"Total people, sources of personal income"|"Total people, ethnic group"|288|
"Kaingaroa Forest"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|114|
"Kaingaroa Forest"|"Self-employment or business"|"Total people, ethnic group"|3|
"Kaingaroa Forest"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|6|
"Kaingaroa Forest"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Kaingaroa Forest"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|24|
"Kaingaroa Forest"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Kaingaroa Forest"|"Unemployment benefit"|"Total people, ethnic group"|39|
"Kaingaroa Forest"|"Sickness benefit"|"Total people, ethnic group"|18|
"Kaingaroa Forest"|"Domestic purposes benefit"|"Total people, ethnic group"|18|
"Kaingaroa Forest"|"Invalids benefit"|"Total people, ethnic group"|12|
"Kaingaroa Forest"|"Student allowance"|"Total people, ethnic group"|3|
"Kaingaroa Forest"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|9|
"Kaingaroa Forest"|"Other sources of income"|"Total people, ethnic group"|3|
"Kaingaroa Forest"|"No source of income during that time"|"Total people, ethnic group"|39|
"Kaingaroa Forest"|"Total people stated"|"Total people, ethnic group"|249|
"Kaingaroa Forest"|"Not stated"|"Total people, ethnic group"|39|
"Tarawera"|"Total people, sources of personal income"|"Total people, ethnic group"|1092|
"Tarawera"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|603|
"Tarawera"|"Self-employment or business"|"Total people, ethnic group"|342|
"Tarawera"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|297|
"Tarawera"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Tarawera"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|141|
"Tarawera"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|33|
"Tarawera"|"Unemployment benefit"|"Total people, ethnic group"|12|
"Tarawera"|"Sickness benefit"|"Total people, ethnic group"|12|
"Tarawera"|"Domestic purposes benefit"|"Total people, ethnic group"|15|
"Tarawera"|"Invalids benefit"|"Total people, ethnic group"|3|
"Tarawera"|"Student allowance"|"Total people, ethnic group"|9|
"Tarawera"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|24|
"Tarawera"|"Other sources of income"|"Total people, ethnic group"|12|
"Tarawera"|"No source of income during that time"|"Total people, ethnic group"|57|
"Tarawera"|"Total people stated"|"Total people, ethnic group"|1044|
"Tarawera"|"Not stated"|"Total people, ethnic group"|48|
"Golden Springs"|"Total people, sources of personal income"|"Total people, ethnic group"|966|
"Golden Springs"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|525|
"Golden Springs"|"Self-employment or business"|"Total people, ethnic group"|297|
"Golden Springs"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|174|
"Golden Springs"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Golden Springs"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|54|
"Golden Springs"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Golden Springs"|"Unemployment benefit"|"Total people, ethnic group"|6|
"Golden Springs"|"Sickness benefit"|"Total people, ethnic group"|12|
"Golden Springs"|"Domestic purposes benefit"|"Total people, ethnic group"|12|
"Golden Springs"|"Invalids benefit"|"Total people, ethnic group"|9|
"Golden Springs"|"Student allowance"|"Total people, ethnic group"|9|
"Golden Springs"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|42|
"Golden Springs"|"Other sources of income"|"Total people, ethnic group"|15|
"Golden Springs"|"No source of income during that time"|"Total people, ethnic group"|60|
"Golden Springs"|"Total people stated"|"Total people, ethnic group"|879|
"Golden Springs"|"Not stated"|"Total people, ethnic group"|87|
"Reporoa"|"Total people, sources of personal income"|"Total people, ethnic group"|333|
"Reporoa"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|192|
"Reporoa"|"Self-employment or business"|"Total people, ethnic group"|63|
"Reporoa"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|48|
"Reporoa"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Reporoa"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|36|
"Reporoa"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Reporoa"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Reporoa"|"Sickness benefit"|"Total people, ethnic group"|3|
"Reporoa"|"Domestic purposes benefit"|"Total people, ethnic group"|21|
"Reporoa"|"Invalids benefit"|"Total people, ethnic group"|6|
"Reporoa"|"Student allowance"|"Total people, ethnic group"|3|
"Reporoa"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|12|
"Reporoa"|"Other sources of income"|"Total people, ethnic group"|9|
"Reporoa"|"No source of income during that time"|"Total people, ethnic group"|21|
"Reporoa"|"Total people stated"|"Total people, ethnic group"|309|
"Reporoa"|"Not stated"|"Total people, ethnic group"|24|
"Ngakuru"|"Total people, sources of personal income"|"Total people, ethnic group"|1290|
"Ngakuru"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|660|
"Ngakuru"|"Self-employment or business"|"Total people, ethnic group"|411|
"Ngakuru"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|234|
"Ngakuru"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Ngakuru"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|120|
"Ngakuru"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|15|
"Ngakuru"|"Unemployment benefit"|"Total people, ethnic group"|18|
"Ngakuru"|"Sickness benefit"|"Total people, ethnic group"|15|
"Ngakuru"|"Domestic purposes benefit"|"Total people, ethnic group"|18|
"Ngakuru"|"Invalids benefit"|"Total people, ethnic group"|9|
"Ngakuru"|"Student allowance"|"Total people, ethnic group"|12|
"Ngakuru"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|39|
"Ngakuru"|"Other sources of income"|"Total people, ethnic group"|15|
"Ngakuru"|"No source of income during that time"|"Total people, ethnic group"|87|
"Ngakuru"|"Total people stated"|"Total people, ethnic group"|1200|
"Ngakuru"|"Not stated"|"Total people, ethnic group"|90|
"Arahiwi"|"Total people, sources of personal income"|"Total people, ethnic group"|120|
"Arahiwi"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|66|
"Arahiwi"|"Self-employment or business"|"Total people, ethnic group"|36|
"Arahiwi"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|12|
"Arahiwi"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Arahiwi"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|3|
"Arahiwi"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Arahiwi"|"Unemployment benefit"|"Total people, ethnic group"|0|
"Arahiwi"|"Sickness benefit"|"Total people, ethnic group"|3|
"Arahiwi"|"Domestic purposes benefit"|"Total people, ethnic group"|3|
"Arahiwi"|"Invalids benefit"|"Total people, ethnic group"|0|
"Arahiwi"|"Student allowance"|"Total people, ethnic group"|0|
"Arahiwi"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|9|
"Arahiwi"|"Other sources of income"|"Total people, ethnic group"|3|
"Arahiwi"|"No source of income during that time"|"Total people, ethnic group"|6|
"Arahiwi"|"Total people stated"|"Total people, ethnic group"|105|
"Arahiwi"|"Not stated"|"Total people, ethnic group"|15|
"Waiwhero"|"Total people, sources of personal income"|"Total people, ethnic group"|561|
"Waiwhero"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|267|
"Waiwhero"|"Self-employment or business"|"Total people, ethnic group"|177|
"Waiwhero"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|156|
"Waiwhero"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Waiwhero"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|72|
"Waiwhero"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Waiwhero"|"Unemployment benefit"|"Total people, ethnic group"|3|
"Waiwhero"|"Sickness benefit"|"Total people, ethnic group"|6|
"Waiwhero"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Waiwhero"|"Invalids benefit"|"Total people, ethnic group"|3|
"Waiwhero"|"Student allowance"|"Total people, ethnic group"|6|
"Waiwhero"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|12|
"Waiwhero"|"Other sources of income"|"Total people, ethnic group"|9|
"Waiwhero"|"No source of income during that time"|"Total people, ethnic group"|27|
"Waiwhero"|"Total people stated"|"Total people, ethnic group"|495|
"Waiwhero"|"Not stated"|"Total people, ethnic group"|66|
"Mamaku"|"Total people, sources of personal income"|"Total people, ethnic group"|513|
"Mamaku"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|246|
"Mamaku"|"Self-employment or business"|"Total people, ethnic group"|57|
"Mamaku"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|45|
"Mamaku"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Mamaku"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|57|
"Mamaku"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Mamaku"|"Unemployment benefit"|"Total people, ethnic group"|21|
"Mamaku"|"Sickness benefit"|"Total people, ethnic group"|36|
"Mamaku"|"Domestic purposes benefit"|"Total people, ethnic group"|24|
"Mamaku"|"Invalids benefit"|"Total people, ethnic group"|18|
"Mamaku"|"Student allowance"|"Total people, ethnic group"|9|
"Mamaku"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|24|
"Mamaku"|"Other sources of income"|"Total people, ethnic group"|6|
"Mamaku"|"No source of income during that time"|"Total people, ethnic group"|42|
"Mamaku"|"Total people stated"|"Total people, ethnic group"|471|
"Mamaku"|"Not stated"|"Total people, ethnic group"|42|
"Selwyn Heights"|"Total people, sources of personal income"|"Total people, ethnic group"|750|
"Selwyn Heights"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|393|
"Selwyn Heights"|"Self-employment or business"|"Total people, ethnic group"|27|
"Selwyn Heights"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|45|
"Selwyn Heights"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Selwyn Heights"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|84|
"Selwyn Heights"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Selwyn Heights"|"Unemployment benefit"|"Total people, ethnic group"|39|
"Selwyn Heights"|"Sickness benefit"|"Total people, ethnic group"|27|
"Selwyn Heights"|"Domestic purposes benefit"|"Total people, ethnic group"|87|
"Selwyn Heights"|"Invalids benefit"|"Total people, ethnic group"|27|
"Selwyn Heights"|"Student allowance"|"Total people, ethnic group"|24|
"Selwyn Heights"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|42|
"Selwyn Heights"|"Other sources of income"|"Total people, ethnic group"|15|
"Selwyn Heights"|"No source of income during that time"|"Total people, ethnic group"|63|
"Selwyn Heights"|"Total people stated"|"Total people, ethnic group"|687|
"Selwyn Heights"|"Not stated"|"Total people, ethnic group"|63|
"Western Heights"|"Total people, sources of personal income"|"Total people, ethnic group"|2535|
"Western Heights"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1155|
"Western Heights"|"Self-employment or business"|"Total people, ethnic group"|141|
"Western Heights"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|177|
"Western Heights"|"Payments from a work accident insurer"|"Total people, ethnic group"|33|
"Western Heights"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|279|
"Western Heights"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|39|
"Western Heights"|"Unemployment benefit"|"Total people, ethnic group"|177|
"Western Heights"|"Sickness benefit"|"Total people, ethnic group"|117|
"Western Heights"|"Domestic purposes benefit"|"Total people, ethnic group"|231|
"Western Heights"|"Invalids benefit"|"Total people, ethnic group"|66|
"Western Heights"|"Student allowance"|"Total people, ethnic group"|72|
"Western Heights"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|93|
"Western Heights"|"Other sources of income"|"Total people, ethnic group"|27|
"Western Heights"|"No source of income during that time"|"Total people, ethnic group"|165|
"Western Heights"|"Total people stated"|"Total people, ethnic group"|2124|
"Western Heights"|"Not stated"|"Total people, ethnic group"|411|
"Fairy Springs"|"Total people, sources of personal income"|"Total people, ethnic group"|1497|
"Fairy Springs"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|762|
"Fairy Springs"|"Self-employment or business"|"Total people, ethnic group"|111|
"Fairy Springs"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|123|
"Fairy Springs"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Fairy Springs"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|222|
"Fairy Springs"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|24|
"Fairy Springs"|"Unemployment benefit"|"Total people, ethnic group"|69|
"Fairy Springs"|"Sickness benefit"|"Total people, ethnic group"|45|
"Fairy Springs"|"Domestic purposes benefit"|"Total people, ethnic group"|96|
