Area|Age group of sole parent|Sex of sole parent|Year|Value|Flags
"Southland District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|111|
"Southland District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|399|
"Gore District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|321|
"Gore District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|45|
"Gore District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|273|
"Invercargill City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2028|
"Invercargill City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|285|
"Invercargill City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1740|
"Total, Territorial Authority areas"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|144411|
"Total, Territorial Authority areas"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|22845|
"Total, Territorial Authority areas"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|121563|
"Area outside territorial authority"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|0|
"Area outside territorial authority"|"Total one parent with dependent children families"|"Male sole parent"|"2013"||c
"Area outside territorial authority"|"Total one parent with dependent children families"|"Female sole parent"|"2013"||c
"Total, New Zealand by regional council"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|16113|
"Total, New Zealand by regional council"|"Under 25 years"|"Male sole parent"|"2013"|1131|
"Total, New Zealand by regional council"|"Under 25 years"|"Female sole parent"|"2013"|14979|
"Total, New Zealand by territorial authority"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|16113|
"Total, New Zealand by territorial authority"|"Under 25 years"|"Male sole parent"|"2013"|1131|
"Total, New Zealand by territorial authority"|"Under 25 years"|"Female sole parent"|"2013"|14979|
"Northland Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|831|
"Northland Region"|"Under 25 years"|"Male sole parent"|"2013"|66|
"Northland Region"|"Under 25 years"|"Female sole parent"|"2013"|765|
"Auckland Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|4932|
"Auckland Region"|"Under 25 years"|"Male sole parent"|"2013"|399|
"Auckland Region"|"Under 25 years"|"Female sole parent"|"2013"|4530|
"Waikato Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|1866|
"Waikato Region"|"Under 25 years"|"Male sole parent"|"2013"|126|
"Waikato Region"|"Under 25 years"|"Female sole parent"|"2013"|1737|
"Bay of Plenty Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|1401|
"Bay of Plenty Region"|"Under 25 years"|"Male sole parent"|"2013"|102|
"Bay of Plenty Region"|"Under 25 years"|"Female sole parent"|"2013"|1299|
"Gisborne Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|339|
"Gisborne Region"|"Under 25 years"|"Male sole parent"|"2013"|21|
"Gisborne Region"|"Under 25 years"|"Female sole parent"|"2013"|318|
"Hawke's Bay Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|870|
"Hawke's Bay Region"|"Under 25 years"|"Male sole parent"|"2013"|63|
"Hawke's Bay Region"|"Under 25 years"|"Female sole parent"|"2013"|807|
"Taranaki Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|459|
"Taranaki Region"|"Under 25 years"|"Male sole parent"|"2013"|27|
"Taranaki Region"|"Under 25 years"|"Female sole parent"|"2013"|435|
"Manawatu-Wanganui Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|1068|
"Manawatu-Wanganui Region"|"Under 25 years"|"Male sole parent"|"2013"|66|
"Manawatu-Wanganui Region"|"Under 25 years"|"Female sole parent"|"2013"|1005|
"Wellington Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|1593|
"Wellington Region"|"Under 25 years"|"Male sole parent"|"2013"|102|
"Wellington Region"|"Under 25 years"|"Female sole parent"|"2013"|1491|
"Tasman Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|93|
"Tasman Region"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Tasman Region"|"Under 25 years"|"Female sole parent"|"2013"|87|
"Nelson Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|156|
"Nelson Region"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Nelson Region"|"Under 25 years"|"Female sole parent"|"2013"|144|
"Marlborough Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|117|
"Marlborough Region"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Marlborough Region"|"Under 25 years"|"Female sole parent"|"2013"|111|
"West Coast Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|99|
"West Coast Region"|"Under 25 years"|"Male sole parent"|"2013"||c
"West Coast Region"|"Under 25 years"|"Female sole parent"|"2013"|102|
"Canterbury Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|1482|
"Canterbury Region"|"Under 25 years"|"Male sole parent"|"2013"|93|
"Canterbury Region"|"Under 25 years"|"Female sole parent"|"2013"|1389|
"Otago Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|420|
"Otago Region"|"Under 25 years"|"Male sole parent"|"2013"|24|
"Otago Region"|"Under 25 years"|"Female sole parent"|"2013"|393|
"Southland Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|387|
"Southland Region"|"Under 25 years"|"Male sole parent"|"2013"|18|
"Southland Region"|"Under 25 years"|"Female sole parent"|"2013"|366|
"Total, Regional Council Areas"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|16110|
"Total, Regional Council Areas"|"Under 25 years"|"Male sole parent"|"2013"|1131|
"Total, Regional Council Areas"|"Under 25 years"|"Female sole parent"|"2013"|14979|
"Area Outside Region"|"Under 25 years"|"Total one parent with dependent children families"|"2013"||c
"Area Outside Region"|"Under 25 years"|"Male sole parent"|"2013"||c
"Area Outside Region"|"Under 25 years"|"Female sole parent"|"2013"||c
"Far North District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|330|
"Far North District"|"Under 25 years"|"Male sole parent"|"2013"|33|
"Far North District"|"Under 25 years"|"Female sole parent"|"2013"|297|
"Whangarei District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|444|
"Whangarei District"|"Under 25 years"|"Male sole parent"|"2013"|27|
"Whangarei District"|"Under 25 years"|"Female sole parent"|"2013"|417|
"Kaipara District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|54|
"Kaipara District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Kaipara District"|"Under 25 years"|"Female sole parent"|"2013"|51|
"Auckland"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|4929|
"Auckland"|"Under 25 years"|"Male sole parent"|"2013"|402|
"Auckland"|"Under 25 years"|"Female sole parent"|"2013"|4530|
"Rodney Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|111|
"Rodney Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"||c
"Rodney Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|105|
"Hibiscus and Bays Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|147|
"Hibiscus and Bays Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Hibiscus and Bays Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|141|
"Upper Harbour Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|78|
"Upper Harbour Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Upper Harbour Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|66|
"Kaipatiki Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|180|
"Kaipatiki Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|15|
"Kaipatiki Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|165|
"Devonport-Takapuna Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|45|
"Devonport-Takapuna Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"||c
"Devonport-Takapuna Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|42|
"Henderson-Massey Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|597|
"Henderson-Massey Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|42|
"Henderson-Massey Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|558|
"Waitakere Ranges Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|153|
"Waitakere Ranges Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Waitakere Ranges Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|141|
"Great Barrier Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"||c
"Great Barrier Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"||c
"Great Barrier Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"||c
"Waiheke Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|15|
"Waiheke Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"||c
"Waiheke Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|15|
"Waitemata Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|57|
"Waitemata Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Waitemata Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|51|
"Whau Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|270|
"Whau Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|21|
"Whau Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|252|
"Albert-Eden Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|105|
"Albert-Eden Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Albert-Eden Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|96|
"Puketapapa Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|153|
"Puketapapa Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Puketapapa Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|141|
"Orakei Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|51|
"Orakei Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"||c
"Orakei Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|48|
"Maungakiekie-Tamaki Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|339|
"Maungakiekie-Tamaki Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|21|
"Maungakiekie-Tamaki Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|318|
"Howick Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|189|
"Howick Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|15|
"Howick Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|174|
"Mangere-Otahuhu Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|561|
"Mangere-Otahuhu Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|78|
"Mangere-Otahuhu Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|483|
"Otara-Papatoetoe Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|558|
"Otara-Papatoetoe Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|42|
"Otara-Papatoetoe Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|519|
"Manurewa Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|741|
"Manurewa Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|60|
"Manurewa Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|681|
"Papakura Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|381|
"Papakura Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|30|
"Papakura Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|351|
"Franklin Local Board Area"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|192|
"Franklin Local Board Area"|"Under 25 years"|"Male sole parent"|"2013"|15|
"Franklin Local Board Area"|"Under 25 years"|"Female sole parent"|"2013"|177|
"Thames-Coromandel District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|63|
"Thames-Coromandel District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Thames-Coromandel District"|"Under 25 years"|"Female sole parent"|"2013"|60|
"Hauraki District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|78|
"Hauraki District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Hauraki District"|"Under 25 years"|"Female sole parent"|"2013"|75|
"Waikato District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|255|
"Waikato District"|"Under 25 years"|"Male sole parent"|"2013"|21|
"Waikato District"|"Under 25 years"|"Female sole parent"|"2013"|231|
"Matamata-Piako District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|123|
"Matamata-Piako District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Matamata-Piako District"|"Under 25 years"|"Female sole parent"|"2013"|114|
"Hamilton City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|765|
"Hamilton City"|"Under 25 years"|"Male sole parent"|"2013"|51|
"Hamilton City"|"Under 25 years"|"Female sole parent"|"2013"|711|
"Waipa District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|147|
"Waipa District"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Waipa District"|"Under 25 years"|"Female sole parent"|"2013"|141|
"Otorohanga District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|45|
"Otorohanga District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Otorohanga District"|"Under 25 years"|"Female sole parent"|"2013"|42|
"South Waikato District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|177|
"South Waikato District"|"Under 25 years"|"Male sole parent"|"2013"|12|
"South Waikato District"|"Under 25 years"|"Female sole parent"|"2013"|162|
"Waitomo District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|51|
"Waitomo District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Waitomo District"|"Under 25 years"|"Female sole parent"|"2013"|48|
"Taupo District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|150|
"Taupo District"|"Under 25 years"|"Male sole parent"|"2013"|12|
"Taupo District"|"Under 25 years"|"Female sole parent"|"2013"|138|
"Western Bay of Plenty District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|147|
"Western Bay of Plenty District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Western Bay of Plenty District"|"Under 25 years"|"Female sole parent"|"2013"|135|
"Tauranga City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|501|
"Tauranga City"|"Under 25 years"|"Male sole parent"|"2013"|24|
"Tauranga City"|"Under 25 years"|"Female sole parent"|"2013"|474|
"Rotorua District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|450|
"Rotorua District"|"Under 25 years"|"Male sole parent"|"2013"|39|
"Rotorua District"|"Under 25 years"|"Female sole parent"|"2013"|408|
"Whakatane District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|195|
"Whakatane District"|"Under 25 years"|"Male sole parent"|"2013"|18|
"Whakatane District"|"Under 25 years"|"Female sole parent"|"2013"|180|
"Kawerau District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|75|
"Kawerau District"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Kawerau District"|"Under 25 years"|"Female sole parent"|"2013"|69|
"Opotiki District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|48|
"Opotiki District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Opotiki District"|"Under 25 years"|"Female sole parent"|"2013"|45|
"Gisborne District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|339|
"Gisborne District"|"Under 25 years"|"Male sole parent"|"2013"|21|
"Gisborne District"|"Under 25 years"|"Female sole parent"|"2013"|318|
"Wairoa District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|60|
"Wairoa District"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Wairoa District"|"Under 25 years"|"Female sole parent"|"2013"|57|
"Hastings District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|420|
"Hastings District"|"Under 25 years"|"Male sole parent"|"2013"|30|
"Hastings District"|"Under 25 years"|"Female sole parent"|"2013"|390|
"Napier City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|339|
"Napier City"|"Under 25 years"|"Male sole parent"|"2013"|24|
"Napier City"|"Under 25 years"|"Female sole parent"|"2013"|315|
"Central Hawke's Bay District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|48|
"Central Hawke's Bay District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Central Hawke's Bay District"|"Under 25 years"|"Female sole parent"|"2013"|42|
"New Plymouth District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|288|
"New Plymouth District"|"Under 25 years"|"Male sole parent"|"2013"|12|
"New Plymouth District"|"Under 25 years"|"Female sole parent"|"2013"|276|
"Stratford District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|36|
"Stratford District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Stratford District"|"Under 25 years"|"Female sole parent"|"2013"|36|
"South Taranaki District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|135|
"South Taranaki District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"South Taranaki District"|"Under 25 years"|"Female sole parent"|"2013"|123|
"Ruapehu District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|66|
"Ruapehu District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Ruapehu District"|"Under 25 years"|"Female sole parent"|"2013"|60|
"Wanganui District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|252|
"Wanganui District"|"Under 25 years"|"Male sole parent"|"2013"|18|
"Wanganui District"|"Under 25 years"|"Female sole parent"|"2013"|234|
"Rangitikei District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|63|
"Rangitikei District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Rangitikei District"|"Under 25 years"|"Female sole parent"|"2013"|57|
"Manawatu District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|99|
"Manawatu District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Manawatu District"|"Under 25 years"|"Female sole parent"|"2013"|96|
"Palmerston North City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|354|
"Palmerston North City"|"Under 25 years"|"Male sole parent"|"2013"|18|
"Palmerston North City"|"Under 25 years"|"Female sole parent"|"2013"|333|
"Tararua District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|69|
"Tararua District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Tararua District"|"Under 25 years"|"Female sole parent"|"2013"|69|
"Horowhenua District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|168|
"Horowhenua District"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Horowhenua District"|"Under 25 years"|"Female sole parent"|"2013"|159|
"Kapiti Coast District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|195|
"Kapiti Coast District"|"Under 25 years"|"Male sole parent"|"2013"|12|
"Kapiti Coast District"|"Under 25 years"|"Female sole parent"|"2013"|183|
"Porirua City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|342|
"Porirua City"|"Under 25 years"|"Male sole parent"|"2013"|36|
"Porirua City"|"Under 25 years"|"Female sole parent"|"2013"|306|
"Upper Hutt City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|150|
"Upper Hutt City"|"Under 25 years"|"Male sole parent"|"2013"||c
"Upper Hutt City"|"Under 25 years"|"Female sole parent"|"2013"|147|
"Lower Hutt City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|483|
"Lower Hutt City"|"Under 25 years"|"Male sole parent"|"2013"|33|
"Lower Hutt City"|"Under 25 years"|"Female sole parent"|"2013"|450|
"Wellington City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|234|
"Wellington City"|"Under 25 years"|"Male sole parent"|"2013"|12|
"Wellington City"|"Under 25 years"|"Female sole parent"|"2013"|222|
"Masterton District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|132|
"Masterton District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Masterton District"|"Under 25 years"|"Female sole parent"|"2013"|129|
"Carterton District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|27|
"Carterton District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Carterton District"|"Under 25 years"|"Female sole parent"|"2013"|27|
"South Wairarapa District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|30|
"South Wairarapa District"|"Under 25 years"|"Male sole parent"|"2013"||c
"South Wairarapa District"|"Under 25 years"|"Female sole parent"|"2013"|30|
"Tasman District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|93|
"Tasman District"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Tasman District"|"Under 25 years"|"Female sole parent"|"2013"|84|
"Nelson City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|153|
"Nelson City"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Nelson City"|"Under 25 years"|"Female sole parent"|"2013"|147|
"Marlborough District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|117|
"Marlborough District"|"Under 25 years"|"Male sole parent"|"2013"|6|
"Marlborough District"|"Under 25 years"|"Female sole parent"|"2013"|108|
"Kaikoura District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|6|
"Kaikoura District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Kaikoura District"|"Under 25 years"|"Female sole parent"|"2013"|6|
"Buller District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|30|
"Buller District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Buller District"|"Under 25 years"|"Female sole parent"|"2013"|30|
"Grey District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|45|
"Grey District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Grey District"|"Under 25 years"|"Female sole parent"|"2013"|45|
"Westland District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|24|
"Westland District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Westland District"|"Under 25 years"|"Female sole parent"|"2013"|21|
"Hurunui District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|12|
"Hurunui District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Hurunui District"|"Under 25 years"|"Female sole parent"|"2013"|12|
"Waimakariri District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|96|
"Waimakariri District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Waimakariri District"|"Under 25 years"|"Female sole parent"|"2013"|87|
"Christchurch City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|1056|
"Christchurch City"|"Under 25 years"|"Male sole parent"|"2013"|63|
"Christchurch City"|"Under 25 years"|"Female sole parent"|"2013"|996|
"Selwyn District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|57|
"Selwyn District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Selwyn District"|"Under 25 years"|"Female sole parent"|"2013"|57|
"Ashburton District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|87|
"Ashburton District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Ashburton District"|"Under 25 years"|"Female sole parent"|"2013"|78|
"Timaru District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|138|
"Timaru District"|"Under 25 years"|"Male sole parent"|"2013"|9|
"Timaru District"|"Under 25 years"|"Female sole parent"|"2013"|129|
"Mackenzie District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"||c
"Mackenzie District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Mackenzie District"|"Under 25 years"|"Female sole parent"|"2013"||c
"Waimate District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|18|
"Waimate District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Waimate District"|"Under 25 years"|"Female sole parent"|"2013"|18|
"Chatham Islands Territory"|"Under 25 years"|"Total one parent with dependent children families"|"2013"||c
"Chatham Islands Territory"|"Under 25 years"|"Male sole parent"|"2013"||c
"Chatham Islands Territory"|"Under 25 years"|"Female sole parent"|"2013"||c
"Waitaki District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|45|
"Waitaki District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Waitaki District"|"Under 25 years"|"Female sole parent"|"2013"|42|
"Central Otago District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|27|
"Central Otago District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Central Otago District"|"Under 25 years"|"Female sole parent"|"2013"|24|
"Queenstown-Lakes District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|6|
"Queenstown-Lakes District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Queenstown-Lakes District"|"Under 25 years"|"Female sole parent"|"2013"|6|
"Dunedin City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|306|
"Dunedin City"|"Under 25 years"|"Male sole parent"|"2013"|18|
"Dunedin City"|"Under 25 years"|"Female sole parent"|"2013"|285|
"Clutha District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|39|
"Clutha District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Clutha District"|"Under 25 years"|"Female sole parent"|"2013"|39|
"Southland District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|48|
"Southland District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Southland District"|"Under 25 years"|"Female sole parent"|"2013"|45|
"Gore District"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|45|
"Gore District"|"Under 25 years"|"Male sole parent"|"2013"||c
"Gore District"|"Under 25 years"|"Female sole parent"|"2013"|42|
"Invercargill City"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|294|
"Invercargill City"|"Under 25 years"|"Male sole parent"|"2013"|15|
"Invercargill City"|"Under 25 years"|"Female sole parent"|"2013"|282|
"Total, Territorial Authority areas"|"Under 25 years"|"Total one parent with dependent children families"|"2013"|16113|
"Total, Territorial Authority areas"|"Under 25 years"|"Male sole parent"|"2013"|1134|
"Total, Territorial Authority areas"|"Under 25 years"|"Female sole parent"|"2013"|14982|
"Area outside territorial authority"|"Under 25 years"|"Total one parent with dependent children families"|"2013"||c
"Area outside territorial authority"|"Under 25 years"|"Male sole parent"|"2013"||c
"Area outside territorial authority"|"Under 25 years"|"Female sole parent"|"2013"||c
"Total, New Zealand by regional council"|"25-34 years"|"Total one parent with dependent children families"|"2013"|35637|
"Total, New Zealand by regional council"|"25-34 years"|"Male sole parent"|"2013"|3822|
"Total, New Zealand by regional council"|"25-34 years"|"Female sole parent"|"2013"|31815|
"Total, New Zealand by territorial authority"|"25-34 years"|"Total one parent with dependent children families"|"2013"|35640|
"Total, New Zealand by territorial authority"|"25-34 years"|"Male sole parent"|"2013"|3822|
"Total, New Zealand by territorial authority"|"25-34 years"|"Female sole parent"|"2013"|31815|
"Northland Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1653|
"Northland Region"|"25-34 years"|"Male sole parent"|"2013"|207|
"Northland Region"|"25-34 years"|"Female sole parent"|"2013"|1446|
"Auckland Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|11031|
"Auckland Region"|"25-34 years"|"Male sole parent"|"2013"|1158|
"Auckland Region"|"25-34 years"|"Female sole parent"|"2013"|9873|
"Waikato Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|4146|
"Waikato Region"|"25-34 years"|"Male sole parent"|"2013"|462|
"Waikato Region"|"25-34 years"|"Female sole parent"|"2013"|3684|
"Bay of Plenty Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|3027|
"Bay of Plenty Region"|"25-34 years"|"Male sole parent"|"2013"|345|
