Area|Age group|Occupied dwelling type|Value|Flags
"Waikato Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|24|
"Waikato Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"|0|
"Bay of Plenty Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|19647|
"Bay of Plenty Region"|"10-14 Years"|"Separate house no storey information"|69|
"Bay of Plenty Region"|"10-14 Years"|"Separate house with one storey"|13014|
"Bay of Plenty Region"|"10-14 Years"|"Separate house with two or more storeys"|4296|
"Bay of Plenty Region"|"10-14 Years"|"Total usual residents in separate houses"|17379|
"Bay of Plenty Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|6|
"Bay of Plenty Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|633|
"Bay of Plenty Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|330|
"Bay of Plenty Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|9|
"Bay of Plenty Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|978|
"Bay of Plenty Region"|"10-14 Years"|"Dwelling in a motor camp"|21|
"Bay of Plenty Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|36|
"Bay of Plenty Region"|"10-14 Years"|"Improvised dwelling or shelter"|36|
"Bay of Plenty Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Bay of Plenty Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|90|
"Bay of Plenty Region"|"10-14 Years"|"Occupied private dwelling not further defined"|1140|
"Bay of Plenty Region"|"10-14 Years"|"Residential care for older people"||c
"Bay of Plenty Region"|"10-14 Years"|"Public hospital"||c
"Bay of Plenty Region"|"10-14 Years"|"Private hospital"||c
"Bay of Plenty Region"|"10-14 Years"|"Residential and community care facilities"||c
"Bay of Plenty Region"|"10-14 Years"|"Welfare institution"||c
"Bay of Plenty Region"|"10-14 Years"|"Educational institution"|12|
"Bay of Plenty Region"|"10-14 Years"|"Religious institution"||c
"Bay of Plenty Region"|"10-14 Years"|"Prison or penal institution"||c
"Bay of Plenty Region"|"10-14 Years"|"Defence establishment"||c
"Bay of Plenty Region"|"10-14 Years"|"Night shelter"||c
"Bay of Plenty Region"|"10-14 Years"|"Total usual residents in institutions"|18|
"Bay of Plenty Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"|21|
"Bay of Plenty Region"|"10-14 Years"|"Boarding house"||c
"Bay of Plenty Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Bay of Plenty Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Bay of Plenty Region"|"10-14 Years"|"Youth, school, or scout/guide camp"|18|
"Bay of Plenty Region"|"10-14 Years"|"Communal staff quarters"||c
"Bay of Plenty Region"|"10-14 Years"|"Commercial vessel"||c
"Bay of Plenty Region"|"10-14 Years"|"Marae complex"||c
"Bay of Plenty Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|39|
"Bay of Plenty Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Gisborne Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|3627|
"Gisborne Region"|"10-14 Years"|"Separate house no storey information"|6|
"Gisborne Region"|"10-14 Years"|"Separate house with one storey"|2913|
"Gisborne Region"|"10-14 Years"|"Separate house with two or more storeys"|279|
"Gisborne Region"|"10-14 Years"|"Total usual residents in separate houses"|3198|
"Gisborne Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Gisborne Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|102|
"Gisborne Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|48|
"Gisborne Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Gisborne Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|147|
"Gisborne Region"|"10-14 Years"|"Dwelling in a motor camp"|0|
"Gisborne Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|3|
"Gisborne Region"|"10-14 Years"|"Improvised dwelling or shelter"|3|
"Gisborne Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Gisborne Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|6|
"Gisborne Region"|"10-14 Years"|"Occupied private dwelling not further defined"|267|
"Gisborne Region"|"10-14 Years"|"Residential care for older people"||c
"Gisborne Region"|"10-14 Years"|"Public hospital"||c
"Gisborne Region"|"10-14 Years"|"Private hospital"||c
"Gisborne Region"|"10-14 Years"|"Residential and community care facilities"||c
"Gisborne Region"|"10-14 Years"|"Welfare institution"||c
"Gisborne Region"|"10-14 Years"|"Educational institution"||c
"Gisborne Region"|"10-14 Years"|"Religious institution"||c
"Gisborne Region"|"10-14 Years"|"Prison or penal institution"||c
"Gisborne Region"|"10-14 Years"|"Defence establishment"||c
"Gisborne Region"|"10-14 Years"|"Night shelter"||c
"Gisborne Region"|"10-14 Years"|"Total usual residents in institutions"||c
"Gisborne Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Gisborne Region"|"10-14 Years"|"Boarding house"||c
"Gisborne Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Gisborne Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Gisborne Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"Gisborne Region"|"10-14 Years"|"Communal staff quarters"||c
"Gisborne Region"|"10-14 Years"|"Commercial vessel"||c
"Gisborne Region"|"10-14 Years"|"Marae complex"||c
"Gisborne Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"||c
"Gisborne Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Hawke's Bay Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|11070|
"Hawke's Bay Region"|"10-14 Years"|"Separate house no storey information"|45|
"Hawke's Bay Region"|"10-14 Years"|"Separate house with one storey"|8559|
"Hawke's Bay Region"|"10-14 Years"|"Separate house with two or more storeys"|1290|
"Hawke's Bay Region"|"10-14 Years"|"Total usual residents in separate houses"|9894|
"Hawke's Bay Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|9|
"Hawke's Bay Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|384|
"Hawke's Bay Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|111|
"Hawke's Bay Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|6|
"Hawke's Bay Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|504|
"Hawke's Bay Region"|"10-14 Years"|"Dwelling in a motor camp"|6|
"Hawke's Bay Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|15|
"Hawke's Bay Region"|"10-14 Years"|"Improvised dwelling or shelter"|6|
"Hawke's Bay Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Hawke's Bay Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|27|
"Hawke's Bay Region"|"10-14 Years"|"Occupied private dwelling not further defined"|522|
"Hawke's Bay Region"|"10-14 Years"|"Residential care for older people"||c
"Hawke's Bay Region"|"10-14 Years"|"Public hospital"||c
"Hawke's Bay Region"|"10-14 Years"|"Private hospital"||c
"Hawke's Bay Region"|"10-14 Years"|"Residential and community care facilities"|15|
"Hawke's Bay Region"|"10-14 Years"|"Welfare institution"||c
"Hawke's Bay Region"|"10-14 Years"|"Educational institution"|81|
"Hawke's Bay Region"|"10-14 Years"|"Religious institution"||c
"Hawke's Bay Region"|"10-14 Years"|"Prison or penal institution"||c
"Hawke's Bay Region"|"10-14 Years"|"Defence establishment"||c
"Hawke's Bay Region"|"10-14 Years"|"Night shelter"||c
"Hawke's Bay Region"|"10-14 Years"|"Total usual residents in institutions"|93|
"Hawke's Bay Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"|12|
"Hawke's Bay Region"|"10-14 Years"|"Boarding house"||c
"Hawke's Bay Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Hawke's Bay Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Hawke's Bay Region"|"10-14 Years"|"Youth, school, or scout/guide camp"|6|
"Hawke's Bay Region"|"10-14 Years"|"Communal staff quarters"||c
"Hawke's Bay Region"|"10-14 Years"|"Commercial vessel"||c
"Hawke's Bay Region"|"10-14 Years"|"Marae complex"||c
"Hawke's Bay Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|27|
"Hawke's Bay Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Taranaki Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|7602|
"Taranaki Region"|"10-14 Years"|"Separate house no storey information"|24|
"Taranaki Region"|"10-14 Years"|"Separate house with one storey"|5643|
"Taranaki Region"|"10-14 Years"|"Separate house with two or more storeys"|1437|
"Taranaki Region"|"10-14 Years"|"Total usual residents in separate houses"|7101|
"Taranaki Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Taranaki Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|132|
"Taranaki Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|69|
"Taranaki Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Taranaki Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|204|
"Taranaki Region"|"10-14 Years"|"Dwelling in a motor camp"|0|
"Taranaki Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|3|
"Taranaki Region"|"10-14 Years"|"Improvised dwelling or shelter"|6|
"Taranaki Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Taranaki Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|9|
"Taranaki Region"|"10-14 Years"|"Occupied private dwelling not further defined"|267|
"Taranaki Region"|"10-14 Years"|"Residential care for older people"||c
"Taranaki Region"|"10-14 Years"|"Public hospital"||c
"Taranaki Region"|"10-14 Years"|"Private hospital"||c
"Taranaki Region"|"10-14 Years"|"Residential and community care facilities"||c
"Taranaki Region"|"10-14 Years"|"Welfare institution"||c
"Taranaki Region"|"10-14 Years"|"Educational institution"|6|
"Taranaki Region"|"10-14 Years"|"Religious institution"||c
"Taranaki Region"|"10-14 Years"|"Prison or penal institution"||c
"Taranaki Region"|"10-14 Years"|"Defence establishment"||c
"Taranaki Region"|"10-14 Years"|"Night shelter"||c
"Taranaki Region"|"10-14 Years"|"Total usual residents in institutions"|9|
"Taranaki Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Taranaki Region"|"10-14 Years"|"Boarding house"||c
"Taranaki Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Taranaki Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Taranaki Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"Taranaki Region"|"10-14 Years"|"Communal staff quarters"||c
"Taranaki Region"|"10-14 Years"|"Commercial vessel"||c
"Taranaki Region"|"10-14 Years"|"Marae complex"||c
"Taranaki Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|9|
"Taranaki Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Manawatu-Wanganui Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|15183|
"Manawatu-Wanganui Region"|"10-14 Years"|"Separate house no storey information"|54|
"Manawatu-Wanganui Region"|"10-14 Years"|"Separate house with one storey"|11718|
"Manawatu-Wanganui Region"|"10-14 Years"|"Separate house with two or more storeys"|2172|
"Manawatu-Wanganui Region"|"10-14 Years"|"Total usual residents in separate houses"|13944|
"Manawatu-Wanganui Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Manawatu-Wanganui Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|354|
"Manawatu-Wanganui Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|111|
"Manawatu-Wanganui Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Manawatu-Wanganui Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|474|
"Manawatu-Wanganui Region"|"10-14 Years"|"Dwelling in a motor camp"|3|
"Manawatu-Wanganui Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|15|
"Manawatu-Wanganui Region"|"10-14 Years"|"Improvised dwelling or shelter"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|21|
"Manawatu-Wanganui Region"|"10-14 Years"|"Occupied private dwelling not further defined"|609|
"Manawatu-Wanganui Region"|"10-14 Years"|"Residential care for older people"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Public hospital"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Private hospital"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Residential and community care facilities"|3|
"Manawatu-Wanganui Region"|"10-14 Years"|"Welfare institution"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Educational institution"|120|
"Manawatu-Wanganui Region"|"10-14 Years"|"Religious institution"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Prison or penal institution"|3|
"Manawatu-Wanganui Region"|"10-14 Years"|"Defence establishment"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Night shelter"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Total usual residents in institutions"|123|
"Manawatu-Wanganui Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"|9|
"Manawatu-Wanganui Region"|"10-14 Years"|"Boarding house"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Moto camp/camping ground"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Work, construction, or training camp"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Youth, school, or scout/guide camp"|3|
"Manawatu-Wanganui Region"|"10-14 Years"|"Communal staff quarters"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Commercial vessel"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Marae complex"|0|
"Manawatu-Wanganui Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|15|
"Manawatu-Wanganui Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"|0|
"Wellington Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|30087|
"Wellington Region"|"10-14 Years"|"Separate house no storey information"|84|
"Wellington Region"|"10-14 Years"|"Separate house with one storey"|15408|
"Wellington Region"|"10-14 Years"|"Separate house with two or more storeys"|10341|
"Wellington Region"|"10-14 Years"|"Total usual residents in separate houses"|25833|
"Wellington Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|33|
"Wellington Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|960|
"Wellington Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|1692|
"Wellington Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|159|
"Wellington Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|2844|
"Wellington Region"|"10-14 Years"|"Dwelling in a motor camp"|15|
"Wellington Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|18|
"Wellington Region"|"10-14 Years"|"Improvised dwelling or shelter"|6|
"Wellington Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Wellington Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|39|
"Wellington Region"|"10-14 Years"|"Occupied private dwelling not further defined"|1203|
"Wellington Region"|"10-14 Years"|"Residential care for older people"|0|
"Wellington Region"|"10-14 Years"|"Public hospital"|0|
"Wellington Region"|"10-14 Years"|"Private hospital"|3|
"Wellington Region"|"10-14 Years"|"Residential and community care facilities"|3|
"Wellington Region"|"10-14 Years"|"Welfare institution"|12|
"Wellington Region"|"10-14 Years"|"Educational institution"|99|
"Wellington Region"|"10-14 Years"|"Religious institution"|0|
"Wellington Region"|"10-14 Years"|"Prison or penal institution"|6|
"Wellington Region"|"10-14 Years"|"Defence establishment"|0|
"Wellington Region"|"10-14 Years"|"Night shelter"|0|
"Wellington Region"|"10-14 Years"|"Total usual residents in institutions"|126|
"Wellington Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"|27|
"Wellington Region"|"10-14 Years"|"Boarding house"|6|
"Wellington Region"|"10-14 Years"|"Moto camp/camping ground"|3|
"Wellington Region"|"10-14 Years"|"Work, construction, or training camp"|3|
"Wellington Region"|"10-14 Years"|"Youth, school, or scout/guide camp"|3|
"Wellington Region"|"10-14 Years"|"Communal staff quarters"|0|
"Wellington Region"|"10-14 Years"|"Commercial vessel"|0|
"Wellington Region"|"10-14 Years"|"Marae complex"|0|
"Wellington Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|45|
"Wellington Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"|0|
"Tasman Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|3405|
"Tasman Region"|"10-14 Years"|"Separate house no storey information"|9|
"Tasman Region"|"10-14 Years"|"Separate house with one storey"|2370|
"Tasman Region"|"10-14 Years"|"Separate house with two or more storeys"|762|
"Tasman Region"|"10-14 Years"|"Total usual residents in separate houses"|3141|
"Tasman Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Tasman Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|66|
"Tasman Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|36|
"Tasman Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Tasman Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|108|
"Tasman Region"|"10-14 Years"|"Dwelling in a motor camp"|0|
"Tasman Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|27|
"Tasman Region"|"10-14 Years"|"Improvised dwelling or shelter"|3|
"Tasman Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Tasman Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|30|
"Tasman Region"|"10-14 Years"|"Occupied private dwelling not further defined"|114|
"Tasman Region"|"10-14 Years"|"Residential care for older people"||c
"Tasman Region"|"10-14 Years"|"Public hospital"||c
"Tasman Region"|"10-14 Years"|"Private hospital"||c
"Tasman Region"|"10-14 Years"|"Residential and community care facilities"||c
"Tasman Region"|"10-14 Years"|"Welfare institution"||c
"Tasman Region"|"10-14 Years"|"Educational institution"||c
"Tasman Region"|"10-14 Years"|"Religious institution"||c
"Tasman Region"|"10-14 Years"|"Prison or penal institution"||c
"Tasman Region"|"10-14 Years"|"Defence establishment"||c
"Tasman Region"|"10-14 Years"|"Night shelter"||c
"Tasman Region"|"10-14 Years"|"Total usual residents in institutions"||c
"Tasman Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Tasman Region"|"10-14 Years"|"Boarding house"||c
"Tasman Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Tasman Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Tasman Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"Tasman Region"|"10-14 Years"|"Communal staff quarters"|6|
"Tasman Region"|"10-14 Years"|"Commercial vessel"||c
"Tasman Region"|"10-14 Years"|"Marae complex"||c
"Tasman Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|12|
"Tasman Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Nelson Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|3024|
"Nelson Region"|"10-14 Years"|"Separate house no storey information"|15|
"Nelson Region"|"10-14 Years"|"Separate house with one storey"|1755|
"Nelson Region"|"10-14 Years"|"Separate house with two or more storeys"|939|
"Nelson Region"|"10-14 Years"|"Total usual residents in separate houses"|2706|
"Nelson Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Nelson Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|99|
"Nelson Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|93|
"Nelson Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Nelson Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|195|
"Nelson Region"|"10-14 Years"|"Dwelling in a motor camp"|6|
"Nelson Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|3|
"Nelson Region"|"10-14 Years"|"Improvised dwelling or shelter"|0|
"Nelson Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Nelson Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|12|
"Nelson Region"|"10-14 Years"|"Occupied private dwelling not further defined"|96|
"Nelson Region"|"10-14 Years"|"Residential care for older people"||c
"Nelson Region"|"10-14 Years"|"Public hospital"||c
"Nelson Region"|"10-14 Years"|"Private hospital"||c
"Nelson Region"|"10-14 Years"|"Residential and community care facilities"||c
"Nelson Region"|"10-14 Years"|"Welfare institution"||c
"Nelson Region"|"10-14 Years"|"Educational institution"|15|
"Nelson Region"|"10-14 Years"|"Religious institution"||c
"Nelson Region"|"10-14 Years"|"Prison or penal institution"||c
"Nelson Region"|"10-14 Years"|"Defence establishment"||c
"Nelson Region"|"10-14 Years"|"Night shelter"||c
"Nelson Region"|"10-14 Years"|"Total usual residents in institutions"|15|
"Nelson Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Nelson Region"|"10-14 Years"|"Boarding house"||c
"Nelson Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Nelson Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Nelson Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"Nelson Region"|"10-14 Years"|"Communal staff quarters"||c
"Nelson Region"|"10-14 Years"|"Commercial vessel"||c
"Nelson Region"|"10-14 Years"|"Marae complex"||c
"Nelson Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"||c
"Nelson Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Marlborough Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|2484|
"Marlborough Region"|"10-14 Years"|"Separate house no storey information"|9|
"Marlborough Region"|"10-14 Years"|"Separate house with one storey"|1926|
"Marlborough Region"|"10-14 Years"|"Separate house with two or more storeys"|390|
"Marlborough Region"|"10-14 Years"|"Total usual residents in separate houses"|2325|
"Marlborough Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Marlborough Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|69|
"Marlborough Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|12|
"Marlborough Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Marlborough Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|81|
"Marlborough Region"|"10-14 Years"|"Dwelling in a motor camp"|3|
"Marlborough Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|0|
"Marlborough Region"|"10-14 Years"|"Improvised dwelling or shelter"|3|
"Marlborough Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Marlborough Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|6|
"Marlborough Region"|"10-14 Years"|"Occupied private dwelling not further defined"|69|
"Marlborough Region"|"10-14 Years"|"Residential care for older people"||c
"Marlborough Region"|"10-14 Years"|"Public hospital"||c
"Marlborough Region"|"10-14 Years"|"Private hospital"||c
"Marlborough Region"|"10-14 Years"|"Residential and community care facilities"||c
"Marlborough Region"|"10-14 Years"|"Welfare institution"||c
"Marlborough Region"|"10-14 Years"|"Educational institution"||c
"Marlborough Region"|"10-14 Years"|"Religious institution"||c
"Marlborough Region"|"10-14 Years"|"Prison or penal institution"||c
"Marlborough Region"|"10-14 Years"|"Defence establishment"||c
"Marlborough Region"|"10-14 Years"|"Night shelter"||c
"Marlborough Region"|"10-14 Years"|"Total usual residents in institutions"||c
"Marlborough Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Marlborough Region"|"10-14 Years"|"Boarding house"||c
"Marlborough Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Marlborough Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Marlborough Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"Marlborough Region"|"10-14 Years"|"Communal staff quarters"||c
"Marlborough Region"|"10-14 Years"|"Commercial vessel"||c
"Marlborough Region"|"10-14 Years"|"Marae complex"||c
"Marlborough Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"||c
"Marlborough Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"West Coast Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|2007|
"West Coast Region"|"10-14 Years"|"Separate house no storey information"|3|
"West Coast Region"|"10-14 Years"|"Separate house with one storey"|1533|
"West Coast Region"|"10-14 Years"|"Separate house with two or more storeys"|237|
"West Coast Region"|"10-14 Years"|"Total usual residents in separate houses"|1776|
"West Coast Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"West Coast Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|33|
"West Coast Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|3|
"West Coast Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"West Coast Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|36|
"West Coast Region"|"10-14 Years"|"Dwelling in a motor camp"|0|
"West Coast Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|6|
"West Coast Region"|"10-14 Years"|"Improvised dwelling or shelter"|0|
"West Coast Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"West Coast Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|9|
"West Coast Region"|"10-14 Years"|"Occupied private dwelling not further defined"|117|
"West Coast Region"|"10-14 Years"|"Residential care for older people"||c
"West Coast Region"|"10-14 Years"|"Public hospital"||c
"West Coast Region"|"10-14 Years"|"Private hospital"||c
"West Coast Region"|"10-14 Years"|"Residential and community care facilities"||c
"West Coast Region"|"10-14 Years"|"Welfare institution"||c
"West Coast Region"|"10-14 Years"|"Educational institution"||c
"West Coast Region"|"10-14 Years"|"Religious institution"|66|
"West Coast Region"|"10-14 Years"|"Prison or penal institution"||c
"West Coast Region"|"10-14 Years"|"Defence establishment"||c
"West Coast Region"|"10-14 Years"|"Night shelter"||c
"West Coast Region"|"10-14 Years"|"Total usual residents in institutions"|66|
"West Coast Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"West Coast Region"|"10-14 Years"|"Boarding house"||c
"West Coast Region"|"10-14 Years"|"Moto camp/camping ground"||c
"West Coast Region"|"10-14 Years"|"Work, construction, or training camp"||c
"West Coast Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"West Coast Region"|"10-14 Years"|"Communal staff quarters"||c
"West Coast Region"|"10-14 Years"|"Commercial vessel"||c
